lat,lon,FD,ID,RR1,TN,TX
-45.75,166.75,0.0,0.0,7.0,279.7288,287.2387
-45.75,167.25,1.0,0.0,8.0,277.44885,286.85266
-45.75,167.75,0.0,0.0,6.0,279.4702,291.5971
-45.75,168.25,0.0,0.0,8.0,279.6809,292.79395
-45.75,168.75,0.0,0.0,7.0,279.79962,293.23837
-45.75,169.25,0.0,0.0,7.0,279.84665,292.83197
-45.75,169.75,1.0,0.0,6.0,278.80524,291.42004
-45.75,170.25,0.0,0.0,6.0,280.12158,292.4599
-45.75,170.75,0.0,0.0,4.0,281.7811,292.56375
-45.25,-74.75,0.0,0.0,6.0,281.46863,289.64438
-45.25,-74.25,0.0,0.0,6.0,281.31833,290.5657
-45.25,-73.75,0.0,0.0,6.0,281.4388,291.75067
-45.25,-73.25,0.0,0.0,5.0,280.7158,292.37103
-45.25,-72.75,0.0,0.0,5.0,280.61023,293.51212
-45.25,-72.25,0.0,0.0,5.0,280.87814,294.86328
-45.25,-71.75,0.0,0.0,5.0,280.76855,295.888
-45.25,-71.25,1.0,0.0,3.0,279.4447,295.1394
-45.25,-70.75,0.0,0.0,2.0,281.25726,297.41507
-45.25,-70.25,0.0,0.0,2.0,282.61536,299.21017
-45.25,-69.75,0.0,0.0,2.0,283.93118,300.878
-45.25,-69.25,0.0,0.0,1.0,284.7815,301.81342
-45.25,-68.75,0.0,0.0,1.0,284.9518,301.75128
-45.25,-68.25,0.0,0.0,1.0,285.13037,301.57422
-45.25,-67.75,0.0,0.0,0.0,286.03958,301.92477
-45.25,-67.25,0.0,0.0,0.0,285.92563,301.39563
-45.25,-66.75,0.0,0.0,0.0,286.7459,301.46075
-45.25,-66.25,0.0,0.0,0.0,286.32672,301.93567
-45.25,-65.75,0.0,0.0,0.0,286.7259,301.70905
-45.25,166.75,0.0,0.0,8.0,278.49857,289.7873
-45.25,167.25,1.0,0.0,8.0,277.2315,286.13007
-45.25,167.75,1.0,0.0,7.0,277.87042,289.22397
-45.25,168.25,1.0,0.0,7.0,276.63544,288.98773
-45.25,168.75,1.0,0.0,6.0,277.35236,290.96094
-45.25,169.25,1.0,0.0,4.0,278.32645,293.3777
-45.25,169.75,1.0,0.0,5.0,278.50275,293.96292
-45.25,170.25,1.0,0.0,4.0,277.51733,292.67422
-45.25,170.75,0.0,0.0,4.0,280.2886,292.9751
-45.25,171.25,0.0,0.0,3.0,283.12177,293.966
-44.75,-74.75,0.0,0.0,4.0,282.74185,290.57632
-44.75,-74.25,0.0,0.0,6.0,281.51862,290.87796
-44.75,-73.75,0.0,0.0,5.0,281.09515,291.7973
-44.75,-73.25,0.0,0.0,7.0,280.34415,292.4356
-44.75,-72.75,0.0,0.0,5.0,279.76865,293.6143
-44.75,-72.25,1.0,0.0,5.0,279.00467,294.23273
-44.75,-71.75,0.0,0.0,6.0,281.2592,296.92303
-44.75,-71.25,0.0,0.0,6.0,283.22748,299.42416
-44.75,-70.75,0.0,0.0,3.0,282.84015,299.8236
-44.75,-70.25,0.0,0.0,2.0,283.79266,301.05225
-44.75,-69.75,0.0,0.0,0.0,282.04434,299.6431
-44.75,-69.25,0.0,0.0,1.0,282.95737,300.4381
-44.75,-68.75,0.0,0.0,1.0,284.0748,301.28397
